Id Igreja,Nome Igreja,Score,Nível,Nível (Cor),Algum gestor resp. Comunicação,Status Igreja
804,Vida Worship Center,399,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
276,IGREJA EVANGÉLICA NOVA ALIANÇA,388,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.172,First Baptist Church of Passtown,378,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.759,Praisedome Nation,378,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.853,COMUNIDADE RAMÁ,378,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.371,The Antioch Church,375,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.876,Favored by the Father Ministries,357,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.335,Lagoinha Cornélio Procópio,357,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,publicado
3.022,IEQ Sta Tereza Embu das Artes,357,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,entregue
1.367,The Word Church,349,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,publicado
604,Igreja Evangélica Assembleia de Deus de Içara,344,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.484,IBC São Bernardo,338,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Não,entregue
2.874,Comunidade Cristã Igreja do Deus Vivo,336,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.273,Quadrangular Barão Geraldo,336,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
3.355,Mensagem do Amor São Roque,326,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
1.495,Disciples of Christ Christian Fellowship,320,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif,Sim,publicado
2.647,Lagoinha Conselheiro Lafaiete,294,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
334,Igreja do Amor Brasil,291,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
2.045,New England Church,281,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
3.301,PEDRAS AFOGUEADAS,281,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
1.462,Igreja Verbo da Vida Ibura,273,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Não,publicado
143,Lagoinha Miami Church,252,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
1.430,Emmaus Christian Church,252,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Não,publicado
2.188,Lagoinha Ilhabela,252,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
406,ONDA DURA - JOINVILLE (SEDE),244,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
1.174,Holy Nation Church of Memphis,239,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Não,publicado
721,Primeira Igreja Batista de Bom Jesus do Itabapoana,231,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Não,publicado
3.207,Igreja Casa de Oração Franca,231,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png,Sim,publicado
3.126,FAMÍLIA DOS QUE CREEM,230,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
1.164,Greater New Birth,228,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Não,publicado
3.321,Igreja Comunidade Evangélica Freedom,220,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
2.906,COMUNIDADE CRISTÃ IDE,214,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
492,Igreja do Nazareno Distrito de São Paulo - Viva App,210,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
1.836,Unplugged Believers Assembly,210,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
2.315,Lagoinha Alagoinhas,210,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
3.147,ICB Sorriso Centro,210,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,entregue
2.750,Lagoinha Kingston Church,205,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Não,publicado
252,Igreja Nova Dimensão,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
1.567,Igreja Lagoinha Porto,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
1.883,Lagoinha Braga,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
2.993,Igreja Verbo da Vida Recife Fundão,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,entregue
3.035,IEQ Rio de Deus - Sede Regiao 533 Sumaré,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,entregue
3.408,Lagoinha Melo Viana,189,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,entregue
3.231,Lagoinha Porto de Mós,186,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,entregue
2.113,Living Word Community Church,182,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
3.506,Comunidade Novo Tempo em Celula,171,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
133,Lagoinha Orlando Church,168,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
3.194,Lagoinha Cerquilho,168,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
3.049,The Mountain of the Lord Church,167,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
3.124,A Ponte Caruaru,160,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
2.059,H.O.P.E Brazilian Church,156,3 - Em Desenvolvimento (Yellow),https://www.colorcombos.com/images/colors/F6FF00.png,Sim,publicado
1.893,Thankful Baptist Church Kennesaw,152,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.103,IEQ Itapeva,149,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.453,Quadrangular Areias,149,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
380,Comunidade Cristã Vida Abundante,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
503,Igreja Batista as Nações,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Não,publicado
1.198,Rhema Deliverance Cathedral,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.216,Lagoinha Canaã Dos Carajás,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.642,Lagoinha São Joaquim De Bicas,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
2.665,Lagoinha Leominster Church,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.063,Igreja Presbiteriana Mosaico,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
3.250,Juntos por Ti - CC,147,4 - Risco Moderado (Light Red),https://www.colorcombos.com/images/colors/FF6666.png,Sim,publicado
