Id Igreja,Nome Igreja,Status Igreja,Score,Algum gestor resp. eventos,Nível,Nível (Cor)
1.567,Igreja Lagoinha Porto,publicado,151,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.463,Lagoinha Santos,publicado,149,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
185,Igreja Batista Filadelfia em Taguatinga,publicado,148,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
2.379,Lagoinha Barra Velha,publicado,143,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
365,Comunidade das Nações Fortaleza,publicado,141,Sim,1 - Promotores (Dark Green),https://media.tenor.com/WsmiS-hUZkEAAAAj/verify.gif
3.248,IAAP - SEDE,entregue,133,Não,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.766,Lagoinha Manaus Sede,publicado,130,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
378,IGREJA PRESBITERIANA INDEPENDENTE CENTRAL DE PRESIDENTE PRUDENTE,publicado,128,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.208,Lagoinha Salinas,publicado,128,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.206,Lagoinha Jacksonville Church,entregue,127,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.119,PIB de Cuiabá,publicado,125,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.293,Lagoinha Aracaju,publicado,124,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
503,Igreja Batista as Nações,publicado,122,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.912,Igreja Videira Grande Vitória,publicado,122,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
2.973,Igreja Batista Emanuel,publicado,122,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.142,ICB NOVA MUTUM,publicado,122,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
3.246,IAAP - PALANQUE,entregue,122,Sim,2 - Engajado (Light Green),https://www.colorcombos.com/images/colors/47FC77.png
